,Week,Week_Numer,Gross,Gross_Diff,Pot_Gross,Potential_Gross_Percent,Average_Paid_Ticket,Top_Ticket,Seats_Sold,Total_Seats,Performances,Capacity,Capacity_Diff,Show_Name
24,4/30/06,18,"$743,022","$-21,765","$849,250",87.49%,$89.25,$250.00,8325,8616,8,96.6%,-2.0%,The Odd Couple
25,5/07/06,19,"$697,188","$-45,834","$849,250",82.09%,$91.90,$250.00,7586,8616,8,88.0%,-8.6%,The Odd Couple
26,5/14/06,20,"$730,378","$33,190","$849,250",86.00%,$88.69,$250.00,8235,8616,8,95.6%,7.6%,The Odd Couple
27,5/21/06,21,"$760,033","$29,655","$849,250",89.49%,$90.05,$250.00,8440,8616,8,98.0%,2.4%,The Odd Couple
28,5/28/06,22,"$744,982","$-15,051","$849,250",87.72%,$89.66,$250.00,8309,8616,8,96.4%,-1.6%,The Odd Couple
29,6/04/06,23,"$733,831","$-11,151","$849,250",86.41%,$89.58,$250.00,8192,8616,8,95.1%,-1.3%,The Odd Couple
7,1/05/86,1,"$123,632","$-47,191",$0,,$0.00,$0.00,4677,0,8,0.0%,0.0%,The Odd Couple 1985 1986
8,1/12/86,2,"$104,091","$-19,541",$0,,$0.00,$0.00,3744,0,8,0.0%,0.0%,The Odd Couple 1985 1986
9,1/19/86,3,"$105,425","$1,334",$0,,$0.00,$0.00,3823,0,8,0.0%,0.0%,The Odd Couple 1985 1986
10,1/26/86,4,"$77,747","$-27,678",$0,,$0.00,$0.00,2803,0,8,0.0%,0.0%,The Odd Couple 1985 1986
11,2/02/86,5,"$71,974","$-5,773",$0,,$0.00,$0.00,2735,0,8,0.0%,0.0%,The Odd Couple 1985 1986
12,2/09/86,6,"$60,991","$-10,983",$0,,$0.00,$0.00,2226,0,8,0.0%,0.0%,The Odd Couple 1985 1986
13,2/16/86,7,"$112,280","$51,289",$0,,$0.00,$0.00,4316,0,8,0.0%,0.0%,The Odd Couple 1985 1986
14,2/23/86,8,"$112,462",$182,$0,,$0.00,$0.00,6743,0,8,0.0%,0.0%,The Odd Couple 1985 1986
7,1/04/98,1,"$222,082","$-24,445","$304,596",72.91%,$41.90,$55.00,5300,6200,8,85.5%,-0.6%,The Old Neighborhood
8,1/11/98,2,"$143,976","$-78,106","$304,596",47.27%,$35.41,$55.00,4066,6200,8,65.6%,-19.9%,The Old Neighborhood
9,1/18/98,3,"$174,207","$30,231","$304,596",57.19%,$40.48,$55.00,4304,6200,8,69.4%,3.8%,The Old Neighborhood
10,1/25/98,4,"$169,709","$-4,498","$304,596",55.72%,$40.51,$55.00,4189,6200,8,67.6%,-1.8%,The Old Neighborhood
11,2/01/98,5,"$155,564","$-14,145","$304,596",51.07%,$38.56,$55.00,4034,6200,8,65.1%,-2.5%,The Old Neighborhood
12,2/08/98,6,"$131,526","$-24,038","$304,596",43.18%,$36.78,$55.00,3576,6200,8,57.7%,-7.4%,The Old Neighborhood
13,2/15/98,7,"$132,546","$1,020","$304,596",43.52%,$37.16,$55.00,3567,6200,8,57.5%,-0.2%,The Old Neighborhood
14,2/22/98,8,"$145,656","$13,110","$304,596",47.82%,$35.59,$55.00,4093,6200,8,66.0%,8.5%,The Old Neighborhood
15,3/01/98,9,"$85,004","$-60,652","$304,596",27.91%,$33.22,$55.00,2559,6200,8,41.3%,-24.7%,The Old Neighborhood
16,3/08/98,10,"$130,533","$45,529","$304,596",42.85%,$32.37,$55.00,4032,6200,8,65.0%,23.7%,The Old Neighborhood
17,3/15/98,11,"$132,303","$1,770","$304,596",43.44%,$31.32,$55.00,4224,6200,8,68.1%,3.1%,The Old Neighborhood
18,3/22/98,12,"$131,021","$-1,282","$304,596",43.01%,$30.94,$55.00,4235,6200,8,68.3%,0.2%,The Old Neighborhood
19,3/29/98,13,"$123,559","$-7,462","$304,596",40.56%,$29.55,$55.00,4182,6200,8,67.5%,-0.8%,The Old Neighborhood
20,4/05/98,14,"$93,852","$-29,707","$304,596",30.81%,$29.39,$55.00,3193,6200,8,51.5%,-16.0%,The Old Neighborhood
21,4/12/98,15,"$74,698","$-19,154","$304,596",24.52%,$28.40,$55.00,2630,6200,8,42.4%,-9.1%,The Old Neighborhood
22,4/19/98,16,"$112,895","$38,197","$304,596",37.06%,$30.02,$55.00,3761,6200,8,60.7%,18.3%,The Old Neighborhood
23,4/26/98,17,"$100,840","$-12,055","$304,596",33.11%,$27.75,$55.00,3634,6200,8,58.6%,-2.1%,The Old Neighborhood
24,5/03/98,18,"$91,589","$-9,251","$304,596",30.07%,$26.06,$55.00,3514,6200,8,56.7%,-1.9%,The Old Neighborhood
25,5/10/98,19,"$99,221","$7,632","$304,596",32.57%,$28.54,$55.00,3476,6200,8,56.1%,-0.6%,The Old Neighborhood
7,1/06/13,1,"$167,770","$9,033","$565,416",29.67%,$37.47,$120.00,4477,5152,8,86.9%,15.8%,The Other Place
8,1/13/13,2,"$215,122","$47,352","$514,400",41.82%,$44.79,$131.00,4803,5152,8,93.2%,6.3%,The Other Place
9,1/20/13,3,"$278,002","$62,880","$610,912",45.51%,$66.54,$131.00,4178,5152,8,81.1%,-12.1%,The Other Place
10,1/27/13,4,"$293,794","$15,792","$610,912",48.09%,$66.45,$131.00,4421,5152,8,85.8%,4.7%,The Other Place
11,2/03/13,5,"$300,190","$6,396","$610,912",49.14%,$68.22,$131.00,4400,5152,8,85.4%,-0.4%,The Other Place
12,2/10/13,6,"$259,979","$-40,211","$610,912",42.56%,$67.63,$131.00,3844,5152,8,74.6%,-10.8%,The Other Place
13,2/17/13,7,"$292,273","$32,294","$610,912",47.84%,$64.39,$131.00,4539,5152,8,88.1%,13.5%,The Other Place
14,2/24/13,8,"$296,168","$3,895","$610,912",48.48%,$67.04,$131.00,4418,5152,8,85.8%,-2.3%,The Other Place
15,3/03/13,9,"$301,779","$5,611","$610,912",49.40%,$68.63,$131.00,4397,5152,8,85.3%,-0.5%,The Other Place
7,1/23/06,4,"$383,326","$383,326","$420,810",91.09%,$92.82,$101.25,4130,4344,6,95.1%,0.0%,The Pajama Game
8,1/29/06,5,"$425,266","$41,940","$561,080",75.79%,$81.13,$101.25,5242,5792,8,90.5%,90.5%,The Pajama Game
9,2/05/06,6,"$401,640","$-23,626","$494,648",81.20%,$76.77,$101.25,5232,5792,8,90.3%,-0.2%,The Pajama Game
10,2/12/06,7,"$404,834","$3,194","$494,648",81.84%,$74.32,$101.25,5447,5792,8,94.0%,3.7%,The Pajama Game
11,2/19/06,8,"$393,501","$-11,333","$494,648",79.55%,$74.65,$101.25,5271,5792,8,91.0%,-3.0%,The Pajama Game
12,2/26/06,9,"$301,859","$-91,642","$451,340",66.88%,$66.34,$101.25,4550,5792,8,78.6%,-12.4%,The Pajama Game
13,3/05/06,10,"$391,711","$89,852","$451,340",86.79%,$66.80,$101.25,5864,5792,8,101.2%,22.6%,The Pajama Game
14,3/12/06,11,"$394,386","$2,675","$451,340",87.38%,$67.15,$101.25,5873,5792,8,101.4%,0.2%,The Pajama Game
15,3/19/06,12,"$399,289","$4,903","$451,340",88.47%,$68.22,$101.25,5853,5792,8,101.1%,-0.3%,The Pajama Game
16,3/26/06,13,"$402,449","$3,160","$451,340",89.17%,$69.88,$101.25,5759,5792,8,99.4%,-1.7%,The Pajama Game
17,4/02/06,14,"$328,808","$-73,641","$338,504",97.14%,$74.61,$101.25,4407,4344,6,101.5%,2.1%,The Pajama Game
18,4/09/06,15,"$398,819","$70,011","$451,340",88.36%,$68.56,$101.25,5817,5792,8,100.4%,-1.1%,The Pajama Game
19,4/17/06,16,"$442,869","$44,050","$451,340",98.12%,$75.56,$101.25,5861,5792,8,101.2%,0.8%,The Pajama Game
20,4/23/06,17,"$404,763","$-38,106","$451,340",89.68%,$68.79,$101.25,5884,5792,8,101.6%,0.4%,The Pajama Game
21,4/30/06,18,"$477,030","$72,267","$507,757",93.95%,$72.36,$101.25,6592,6516,9,101.2%,-0.4%,The Pajama Game
22,5/07/06,19,"$368,637","$-108,393","$451,340",81.68%,$62.97,$101.25,5854,5792,8,101.1%,-0.1%,The Pajama Game
23,5/14/06,20,"$437,193","$68,556","$507,757",86.10%,$66.37,$101.25,6587,6516,9,101.1%,0.0%,The Pajama Game
24,5/21/06,21,"$434,390","$-2,803","$451,340",96.24%,$73.84,$101.25,5883,5792,8,101.6%,0.5%,The Pajama Game
25,5/28/06,22,"$442,180","$7,790","$451,340",97.97%,$75.26,$101.25,5875,5792,8,101.4%,-0.2%,The Pajama Game
26,6/04/06,23,"$475,184","$33,004","$451,340",105.28%,$81.14,$101.25,5856,5792,8,101.1%,-0.3%,The Pajama Game
27,6/11/06,24,"$412,546","$-62,638","$394,922",104.46%,$80.86,$101.25,5102,5068,7,100.7%,-0.4%,The Pajama Game
28,6/18/06,25,"$364,524","$-48,022","$398,400",91.50%,$101.57,$101.25,3589,3610,5,99.4%,-1.3%,The Pajama Game
7,1/07/18,1,"$407,628","$-239,164","$1,037,246",39.30%,$71.02,$260.00,5740,7816,8,73.4%,-14.1%,The Parisian Woman
8,1/14/18,2,"$462,637","$55,009","$1,037,246",44.60%,$71.46,$260.00,6474,7816,8,82.8%,9.4%,The Parisian Woman
9,1/21/18,3,"$471,454","$8,817","$1,037,246",45.45%,$75.67,$260.00,6230,7816,8,79.7%,-3.1%,The Parisian Woman
10,1/28/18,4,"$455,788","$-15,666","$1,037,246",43.94%,$73.15,$260.00,6231,7816,8,79.7%,0.0%,The Parisian Woman
11,2/04/18,5,"$400,167","$-55,621","$1,037,246",38.58%,$73.25,$260.00,5463,7816,8,69.9%,-9.8%,The Parisian Woman
12,2/11/18,6,"$397,375","$-2,792","$1,037,246",38.31%,$69.63,$260.00,5707,7816,8,73.0%,3.1%,The Parisian Woman
13,2/18/18,7,"$484,842","$87,467","$1,037,246",46.74%,$80.58,$260.00,6017,7816,8,77.0%,4.0%,The Parisian Woman
14,2/25/18,8,"$431,158","$-53,684","$1,037,246",41.57%,$78.24,$260.00,5511,7816,8,70.5%,-6.5%,The Parisian Woman
15,3/04/18,9,"$383,885","$-47,273","$1,037,246",37.01%,$76.05,$260.00,5048,7816,8,64.6%,-5.9%,The Parisian Woman
16,3/11/18,10,"$467,853","$83,968","$1,037,246",45.11%,$80.13,$260.00,5839,7816,8,74.7%,10.1%,The Parisian Woman
7,1/02/11,1,"$993,845","$458,458","$1,102,770",90.12%,$114.04,$225.00,8715,9495,9,91.8%,20.2%,The Pee Wee Herman Show
7,4/03/11,14,"$87,141","$87,141","$411,820",21.16%,$32.42,$122.00,2688,3988,4,67.4%,0.0%,The People In The Picture
8,4/10/11,15,"$157,397","$70,256","$818,000",19.24%,$33.36,$122.00,4718,7976,8,59.2%,59.2%,The People In The Picture
9,4/17/11,16,"$156,794",$-603,"$737,605",21.26%,$40.55,$122.00,3867,6979,7,55.4%,-3.8%,The People In The Picture
10,4/24/11,17,"$233,227","$76,433","$839,590",27.78%,$36.20,$122.00,6443,7976,8,80.8%,25.4%,The People In The Picture
11,5/01/11,18,"$209,872","$-23,355","$840,800",24.96%,$32.93,$122.00,6373,7976,8,79.9%,-0.9%,The People In The Picture
12,5/08/11,19,"$218,194","$8,322","$843,440",25.87%,$44.95,$122.00,4854,7976,8,60.9%,-19.0%,The People In The Picture
13,5/15/11,20,"$228,987","$10,793","$843,440",27.15%,$53.34,$122.00,4293,7976,8,53.8%,-7.1%,The People In The Picture
14,5/22/11,21,"$222,588","$-6,399","$843,440",26.39%,$52.21,$122.00,4263,7976,8,53.4%,-0.4%,The People In The Picture
15,5/29/11,22,"$221,916",$-672,"$843,440",26.31%,$51.57,$122.00,4303,7976,8,53.9%,0.5%,The People In The Picture
16,6/05/11,23,"$225,302","$3,386","$843,440",26.71%,$50.26,$122.00,4483,7976,8,56.2%,2.3%,The People In The Picture
17,6/12/11,24,"$208,208","$-17,094","$720,685",28.89%,$51.78,$122.00,4021,6979,7,57.6%,1.4%,The People In The Picture
18,6/19/11,25,"$299,796","$91,588","$843,440",35.54%,$47.38,$122.00,6327,7976,8,79.3%,21.7%,The People In The Picture
7,10/28/12,44,"$187,397","$187,397","$674,940",27.77%,$42.76,$135.00,4383,7539,7,58.1%,0.0%,The Performers
8,11/04/12,45,"$149,584","$-37,813","$674,940",22.16%,$37.18,$135.00,4023,7539,7,53.4%,53.4%,The Performers
